occurrenceID	taxonID
CT102496	T102496
CT102499	T102499
CT102502	T102502
CT102503	T102503
CT102504	T102504
CT102505	T102505
CT102506	T102506
CT102507	T102507
CT102508	T102508
CT102510	T102510
CT102511	T102511
CT102513	T102513
CT102516	T102516
CT102517	T102517
CT102519	T102519
CT102520	T102520
CT102522	T102522
CT102523	T102523
CT102524	T102524
CT102525	T102525
CT102526	T102526
CT102527	T102527
CT102533	T102533
CT102535	T102535
CT102536	T102536
CT102538	T102538
CT102539	T102539
CT102541	T102541
CT102542	T102542
CT102544	T102544
CT102545	T102545
CT102546	T102546
CT102548	T102548
CT102549	T102549
CT102550	T102550
CT102554	T102554
CT102555	T102555
CT102557	T102557
CT102560	T102560
CT102561	T102561
CT102562	T102562
CT102563	T102563
CT102564	T102564
CT102567	T102567
CT102569	T102569
CT102573	T102573
CT102574	T102574
CT102578	T102578
CT102579	T102579
CT102582	T102582
CT102583	T102583
CT102585	T102585
CT102586	T102586
CT102588	T102588
CT102589	T102589
CT102590	T102590
CT102593	T102593
CT102594	T102594
CT102596	T102596
CT102598	T102598
CT102599	T102599
CT102600	T102600
CT102601	T102601
CT102602	T102602
CT102604	T102604
CT102606	T102606
CT102608	T102608
CT102611	T102611
CT102612	T102612
CT102614	T102614
CT102615	T102615
CT102616	T102616
CT102617	T102617
CT102618	T102618
CT102620	T102620
CT102623	T102623
CT102625	T102625
CT102626	T102626
CT102628	T102628
CT102630	T102630
CT102631	T102631
CT102632	T102632
CT102634	T102634
CT102635	T102635
CT102637	T102637
CT102638	T102638
CT102640	T102640
CT102641	T102641
CT102643	T102643
CT102645	T102645
CT102646	T102646
CT102647	T102647
CT102649	T102649
CT102650	T102650
CT102651	T102651
CT102653	T102653
CT102655	T102655
CT102656	T102656
CT102657	T102657
CT102659	T102659
CT102660	T102660
CT102661	T102661
CT102662	T102662
CT102664	T102664
CT102666	T102666
CT102669	T102669
CT102671	T102671
CT102673	T102673
CT102674	T102674
CT102676	T102676
CT102677	T102677
CT102678	T102678
CT102680	T102680
CT102684	T102684
CT102685	T102685
CT102687	T102687
CT102688	T102688
CT102689	T102689
CT102690	T102690
CT102691	T102691
CT102692	T102692
CT102693	T102693
CT102695	T102695
CT102696	T102696
CT102697	T102697
CT102699	T102699
CT102700	T102700
CT102701	T102701
CT102706	T102706
CT102707	T102707
CT102708	T102708
CT102710	T102710
CT102712	T102712
CT102714	T102714
CT102716	T102716
CT102717	T102717
CT102721	T102721
CT102723	T102723
CT102724	T102724
CT102725	T102725
CT102727	T102727
CT102728	T102728
CT102730	T102730
CT102731	T102731
CT102734	T102734
CT102736	T102736
CT102737	T102737
CT102738	T102738
CT102740	T102740
CT102741	T102741
CT102742	T102742
CT102743	T102743
CT102745	T102745
CT102746	T102746
CT102747	T102747
CT102749	T102749
CT102750	T102750
CT102752	T102752
CT102753	T102753
CT102754	T102754
CT102755	T102755
CT102757	T102757
CT102759	T102759
CT102764	T102764
CT102765	T102765
CT102767	T102767
CT102768	T102768
CT102769	T102769
CT102772	T102772
CT102773	T102773
CT102774	T102774
CT102776	T102776
CT102778	T102778
CT102779	T102779
CT102780	T102780
CT102781	T102781
CT102782	T102782
CT102783	T102783
CT102785	T102785
CT102786	T102786
CT102787	T102787
CT102788	T102788
CT102790	T102790
CT102791	T102791
CT102792	T102792
CT102794	T102794
CT102795	T102795
CT102796	T102796
CT102798	T102798
CT102799	T102799
CT102801	T102801
CT102803	T102803
CT102805	T102805
CT102807	T102807
CT102809	T102809
CT102811	T102811
CT102813	T102813
CT102815	T102815
CT102816	T102816
CT102819	T102819
CT102820	T102820
CT102822	T102822
CT102823	T102823
CT102824	T102824
CT102826	T102826
CT102828	T102828
CT102830	T102830
CT102832	T102832
CT102835	T102835
CT102837	T102837
CT102838	T102838
CT102841	T102841
CT102843	T102843
CT102844	T102844
CT102845	T102845
CT102847	T102847
CT102848	T102848
CT102850	T102850
CT102851	T102851
CT102852	T102852
CT102853	T102853
CT102854	T102854
CT102855	T102855
CT102856	T102856
CT102858	T102858
CT102861	T102861
CT102862	T102862
CT102863	T102863
CT102864	T102864
CT102866	T102866
CT102867	T102867
CT102868	T102868
CT102870	T102870
CT102871	T102871
CT102873	T102873
CT102874	T102874
CT102876	T102876
CT102877	T102877
CT102878	T102878
CT102879	T102879
CT102880	T102880
CT102881	T102881
CT102883	T102883
CT102884	T102884
CT102885	T102885
CT102886	T102886
CT102887	T102887
CT102889	T102889
CT102891	T102891
CT102892	T102892
CT102895	T102895
CT102897	T102897
CT102898	T102898
CT102899	T102899
CT102900	T102900
CT102902	T102902
CT102904	T102904
CT102905	T102905
CT102909	T102909
CT102910	T102910
CT102911	T102911
CT102912	T102912
CT102913	T102913
CT102914	T102914
CT102915	T102915
CT102917	T102917
CT102918	T102918
CT102920	T102920
CT102921	T102921
CT102922	T102922
CT102923	T102923
CT102925	T102925
CT102926	T102926
CT102927	T102927
CT102928	T102928
CT102929	T102929
CT102931	T102931
CT102932	T102932
CT102934	T102934
CT102935	T102935
CT102936	T102936
CT102940	T102940
CT102941	T102941
